,reviewTitle,reviewContent,rating,label,clean_teks
2,ok mantaaapppp barang sesuai pesanan.. good,okkkkk mantaaaaaaapppp ... goood,5,1,okkkkk mantaaaaaaapppp goood
7,ada pengirimn ntb bima,bima,1,0,bima
9,Barang bagus sesuai specs,"Pesan rabu sore,minggu sore sampe,,barang sesuai specs mantab,tks lazada",5,1,pesan rabu sore minggu sore barang sesuai specs mantap terimakasih lazada
11,Ini cicil pake apa?,"Mau tanya ini cicilnya pake apa ya,cc bkn?",1,0,cicil pakai ya cc
12,Beli cash sesuai Harga di atas,Apakah TV. Tsb. Suda ada anti gores..,5,1,televisi suda anti gores
13,Pesanan tidak tepat waktu,Pengirim barang tidak sesuai janji. Katanya express 1 hari. Dari hari jumat barang sampai hari rabu. SeMoga barangnya awet saja.,1,0,kirim barang sesuai janji express jumat barang rabu moga barang awet
14,TV ok,Kualitas ok,4,1,kualitas ok
15,Cara mendapatkan garansi,"Bagaimana tv LED saya merek Sharp 24 hitam LC 24LE170i sekarang mati total baru 2 bln kemana saya harus menghubungi dan meminta bantuan mohon kebijakan dan solusinya ,, so,alnya masih garansi kepada pihak lazada saya mohon bantuannya terimakasih!!!",1,0,televisi led merek sharp hitam lc lei mati total mana hubung bantu mohon bijak solusi alnya garansi lazada mohon bantu terimakasih
17,"Sharp HD LED TV 24"" - LC-24LE175I - Hitam",ok barang sampai dengan Baik.. smoga terus di pertahankan...,5,1,ok barang moga tahan
21,Menanyakn cara ciciln,Kalau mau cicilan gmna cra nya??,5,1,cicil cra nya
22,Lima Bintang,barang sudah sampai dan bagus thanks lazada,5,1,barang bagus terimakasih lazada
23,Bagusss,Pengiriman cepat sipplahhh.......,5,1,kirim cepat sipplahhh
29,Good,Pengiriman cepat..  Packaging good..  Barang oke. Thnks seller Thnks Lazada,5,1,kirim cepat packaging good barang oke thnks jual thnks lazada
30,Good job,"Barang diterima dengan selamat.. Produk sesuai dengan deskripsi.. Barang nyape 3 hari ke pekanbaru,riau.. Terimakasih lazada dan kotakom pucang, laptopnya mantap..",5,1,barang terima selamat produk sesuai deskripsi barang nyape pekanbaru riau terimakasih lazada kotakom pucang laptop mantap
32,TOP,"Senang belanja disini,pelayanan oke,barang sesuai ekspektasi..order senin hari selasa malam udah nyampe + di settingin sxan sama kurirnya...pokoknya top deh..thanks Lazada",5,1,senang belanja layan oke barang sesuai ekspektasi order senin selasa malam settingin sxan kurir pokok top deh terimakasih lazada
34,Cape deh!,Sudah cape2 transfer tapi pesanan ditolak,1,0,capek transfer pesan tolak
42,Lima Bintang,"Barang Ok, kualitas bagus dengan harga yg cukup miring, kualitas gambar juga ok, pengiriman lumayan, ga nyesel pokonya beli TV ini",5,1,barang ok kualitas bagus harga miring kualitas gambar ok kirim lumayan sesal poko beli televisi
43,Ke Gresik bisa gak ya..???,Saya minat tapi kalau dikirim ke Gresik Jawa Timur bisa gak? Klo dr info pengiriman bebas tapi takut gk sampai.. Dan tanya apa ini sdh full HD apa blm? Terima kasih,5,1,minat kirim gresik jawa timur informasi kirim bebas takut full hd terima kasih
45,Cilegon bisa nggak??,Pengn tivinya,4,1,pengn tivinya
47,puasss,Mantapppp barang nya,5,1,mantapppp barang nya
48,puassss,Barang mulusss mantapppppp,3,0,barang mulusss mantapppppp
50,Spesifikasi utama terdapat intel core i5,"Laptop ini memiliki spesifikasi yang bagus dan harga yang terjangkau, namun pada tab spesifikasi utama produk itu emang intel core i5 atau salah buat? Di judul dikatakan core i7",1,0,laptop milik spesifikasi bagus harga jangkau tab spesifikasi utama produk emang intel core i salah judul core i
51,"Bagus, diterima dengan aman.","Barang sampai dengan aman. Kemampuan laptop sesuai dengan yang di iklankan. Hanya saja, laptop datang dengan DOS sehingga harus di install sendiri windows nya. Overall, it's worth the money.",5,1,barang aman mampu laptop sesuai iklan laptop dos install windows nya overall it s worth the uang
52,Bagus,Barang sampai 2 hari dengan selamat dan sesuai deskripsi,5,1,barang selamat sesuai deskripsi
53,Produk bagus,Harga sangat murah mantep banget,5,1,harga murah mantap banget
54,Entah benar atau enga,Murah banget itu enga salah kasih harga tau2 nati salah kasi info barang nya,3,0,murah banget enga salah kasih harga tau nati salah kasih informasi barang nya
55,Barang udah sampai,Barang udah sampai tapi pas dinyalain g bisa. Gmn pertanggung jawaban lazada?,1,0,barang pas dinyalain tanggung lazada
58,Cicilan,Klo dp1jt tanpa kartu kredit bisa gk? Brp bln pembayarannya dan sebulannya brp? -TerimaKsh,4,1,dpjt kartu kredit bayar bulan terimaksh
61,Sesuai Dengan yang tertera,"Kapasitas HDD asli 1 TB, dan tanpa ada lecet di saat saya pertama kali membuka bungkus bubble nya",5,1,kapasitas hdd asli tb lecet kali buka bungkus bubble nya
62,mantap,barang sesuai dengan gambar,5,1,barang sesuai gambar
63,Respon penjualan yg baik,"HD diterima dg packing bubble bagus, hanya tidak tertulis, barang elektronik, atw keterangan lain, agar penanganan lebih hati2 dan istimewa, ketika paket dalam perjalanan. Finally, 4bintang lhah...",4,1,hd terima packing bubble bagus tulis barang elektronik terang tangan hati istimewa paket jalan bintang lhah
64,TOP,"Mantap gan Barang sampai dengan selamat , Packing rapih , pokok Mantap lah !",5,1,mantap juragan barang selamat packing rapih pokok mantap
67,Sip,Oke,5,1,oke
